DATE,GNP
1986-01-01,4530.053
1986-04-01,4560.834
1986-07-01,4625.847
1986-10-01,4669.623
1987-01-01,4736.524
1987-04-01,4824.292
1987-07-01,4902.321
1987-10-01,5027.678
1988-01-01,5098.36
1988-04-01,5212.852
1988-07-01,5302.996
1988-10-01,5422.172
1989-01-01,5533.649
1989-04-01,5634.129
1989-07-01,5719.661
1989-10-01,5778.036
1990-01-01,5902.22
1990-04-01,5991.651
1990-07-01,6042.253
1990-10-01,6055.22
1991-01-01,6074.636
1991-04-01,6155.42
1991-07-01,6231.047
1991-10-01,6297.761
1992-01-01,6395.836
1992-04-01,6502.819
1992-07-01,6595.851
1992-10-01,6711.112
1993-01-01,6766.665
1993-04-01,6839.59
1993-07-01,6918.254
1993-10-01,7034.356
1994-01-01,7143.011
1994-04-01,7269.779
1994-07-01,7352.37
1994-10-01,7475.65
1995-01-01,7552.116
1995-04-01,7613.638
1995-07-01,7701.977
1995-10-01,7803.073
1996-01-01,7905.735
1996-04-01,8061.846
1996-07-01,8157.22
1996-10-01,8291.163
1997-01-01,8385.773
1997-04-01,8549.503
1997-07-01,8685.903
1997-10-01,8782.231
1998-01-01,8891.834
1998-04-01,8992.195
1998-07-01,9130.667
1998-10-01,9306.215
1999-01-01,9437.614
1999-04-01,9557.13
1999-07-01,9715.248
1999-10-01,9938.31
2000-01-01,10035.263
2000-04-01,10283.391
2000-07-01,10348.645
2000-10-01,10490.43
2001-01-01,10510.297
2001-04-01,10647.427
2001-07-01,10623.039
2001-10-01,10748.408
2002-01-01,10833.143
2002-04-01,10918.384
2002-07-01,11027.515
2002-10-01,11120.565
2003-01-01,11217.689
2003-04-01,11369.131
2003-07-01,11621.172
2003-10-01,11851.792
2004-01-01,12021.455
2004-04-01,12185.61
2004-07-01,12386.919
2004-10-01,12581.653
2005-01-01,12854.364
2005-04-01,12996.998
2005-07-01,13225.668
2005-10-01,13378.959
2006-01-01,13654.952
2006-04-01,13802.877
2006-07-01,13906.646
2006-10-01,14083.697
2007-01-01,14258.594
2007-04-01,14463.277
2007-07-01,14681.751
2007-10-01,14875.943
2008-01-01,14857.342
2008-04-01,15023.21
2008-07-01,15075.73
2008-10-01,14704.022
2009-01-01,14551.583
2009-04-01,14504.002
2009-07-01,14631.308
2009-10-01,14826.345
2010-01-01,14968.895
2010-04-01,15187.024
2010-07-01,15339.713
2010-10-01,15522.784
2011-01-01,15574.336
2011-04-01,15780.01
2011-07-01,15893.498
2011-10-01,16102.811
2012-01-01,16314.993
2012-04-01,16435.211
2012-07-01,16548.753
2012-10-01,16647.685
2013-01-01,16864.086
2013-04-01,16957.701
2013-07-01,17194.256
2013-10-01,17427.64
2014-01-01,17435.205
2014-04-01,17746.905
2014-07-01,18056.23
2014-10-01,18134.846
2015-01-01,18286.27
2015-04-01,18491.766
2015-07-01,18614.786
2015-10-01,18667.767
2016-01-01,18740.558
2016-04-01,18927.449
2016-07-01,19112.464
2016-10-01,19364.643
2017-01-01,19552.357
2017-04-01,19702.804
2017-07-01,20001.049
2017-10-01,20363.997
2018-01-01,20643.376
2018-04-01,20884.383
2018-07-01,21066.974
2018-10-01,21192.559
2019-01-01,21396.103
2019-04-01,21676.652
2019-07-01,21974.233
2019-10-01,22166.173
2020-01-01,21978.747
2020-04-01,20093.221
2020-07-01,21863.495
2020-10-01,22215.73
2021-01-01,22830.68
2021-04-01,23462.829
2021-07-01,23990.066
2021-10-01,24826.655
2022-01-01,25177.759
2022-04-01,25746.281
2022-07-01,26185.893
2022-10-01,26593.998
2023-01-01,26972.528
2023-04-01,27236.1
2023-07-01,27774.189
2023-10-01,28117.765
2024-01-01,28417.25
